1528,1068,1
1724,1644,1
1740,2302,1
1796,2429,1
1870,1523,1
1942,2275,1
2050,1373,1
2085,2227,1
2170,848,1
2428,1799,1
2449,1814,1
2541,430,1
2564,1216,1
8,2324,1
53,1807,1
127,1881,1
249,1751,1
268,1728,1
299,1784,1
417,138,1
607,1329,1
675,1396,1
807,2493,1
853,1598,1
893,2234,1
1155,131,1
1289,2422,1
1331,595,1
1446,1828,1
1567,19,1
1619,1725,1
1780,1581,1
1814,2449,1
1977,2261,1
2019,2080,1
2226,890,1
2296,772,1
24,2362,1
305,726,1
528,652,1
549,1998,1
575,362,1
765,1445,1
835,81,1
854,1589,1
992,2566,1
1071,2154,1
1116,528,1
1375,1083,1
1413,677,1
1434,729,1
1456,1218,1
1494,1158,1
1819,2424,1
2032,1400,1
2058,2129,1
2109,587,1
2129,647,1
2150,837,1
2263,883,1
2284,922,1
2354,1784,1
72,1020,1
186,38,1
195,872,1
208,1699,1
239,1746,1
346,2026,1
396,109,1
439,2394,1
479,2325,1
490,985,1
521,1093,1
590,1324,1
633,553,1
697,260,1
735,302,1
914,2290,1
964,2502,1
1189,1467,1
1268,2424,1
1352,656,1
1379,1095,1
1487,1802,1
1556,1930,1
1640,1777,1
1691,170,1
1708,1313,1
1834,386,1
1876,2161,1
1891,92,1
1911,2198,1
1949,533,1
2205,1143,1
2319,1757,1
2368,1860,1
2391,1850,1
2462,944,1
2474,691,1
2504,814,1
2569,1678,1
109,1161,1
133,1157,1
165,1680,1
339,954,1
360,1052,1
381,1035,1
402,2390,1
507,1974,1
739,483,1
792,1496,1
813,2415,1
907,236,1
928,206,1
949,332,1
970,316,1
1018,2123,1
1246,2412,1
1303,1705,1
1324,1654,1
1345,1677,1
1445,765,1
1534,1874,1
1592,870,1
1613,909,1
1623,1755,1
1650,190,1
1723,2311,1
1739,269,1
1766,283,1
1781,1624,1
1943,2499,1
2052,320,1
2084,1031,1
2169,1878,1
2295,931,1
2323,1737,1
2427,1290,1
2448,33,1
2539,682,1
2565,995,1
10,1572,1
51,1019,1
128,407,1
247,1272,1
269,693,1
300,706,1
338,2015,1
418,2373,1
605,2153,1
676,245,1
808,108,1
876,2256,1
891,210,1
1043,369,1
1060,2132,1
1085,581,1
1102,2203,1
1127,583,1
1154,1484,1
1183,2463,1
1225,2401,1
1468,748,1
1795,2434,1
1813,60,1
1976,516,1
2018,341,1
2133,616,1
2227,2085,1
111,1153,1
118,1219,1
200,1660,1
400,2377,1
629,1296,1
682,275,1
708,2461,1
763,2232,1
798,2246,1
885,223,1
909,168,1
936,2289,1
961,2344,1
1037,2092,1
1118,2162,1
1236,1300,1
1257,1345,1
1322,1702,1
1347,1655,1
1525,457,1
1546,471,1
1611,915,1
1625,1732,1
1657,2489,1
1737,278,1
1768,261,1
1805,51,1
1895,2186,1
2108,2060,1
2158,1109,1
2183,1084,1
2347,450,1
2419,427,1
2446,1182,1
2466,1940,1
86,824,1
169,1690,1
225,2,1
370,854,1
426,2554,1
473,1554,1
497,747,1
523,1979,1
532,1102,1
564,1638,1
603,2117,1
678,253,1
718,1423,1
749,1469,1
849,2173,1
996,341,1
1134,2201,1
1181,2453,1
1292,1230,1
1360,1248,1
1419,724,1
1498,1837,1
1570,1024,1
1677,2558,1
1733,263,1
1862,1475,1
1910,113,1
1950,2279,1
2062,1380,1
2093,653,1
2135,600,1
2269,880,1
2307,1729,1
2333,945,1
2405,1233,1
2492,1150,1
5,2310,1
26,2302,1
229,446,1
252,1763,1
265,1730,1
312,953,1
467,2355,1
547,1989,1
568,1634,1
599,2147,1
620,2087,1
774,2298,1
856,1602,1
1011,1567,1
1097,556,1
1158,103,1
1415,706,1
1443,1845,1
1463,1847,1
1817,2398,1
1843,1455,1
1921,157,1
2077,2116,1
2212,1926,1
2238,787,1
2265,872,1
2293,777,1
61,843,1
148,1213,1
331,775,1
344,2021,1
451,1514,1
652,1361,1
828,2198,1
966,2530,1
1042,1554,1
1061,1523,1
1092,1365,1
1200,124,1
1266,2377,1
1318,1656,1
1381,1081,1
1554,1917,1
1596,1774,1
1693,180,1
1701,2503,1
1754,242,1
1989,2530,1
2011,2084,1
2047,1370,1
2120,1028,1
2375,420,1
2389,1856,1
2431,1800,1
2492,696,1
2528,965,1
2550,989,1
2571,1679,1
59,1803,1
85,823,1
168,42,1
277,1227,1
343,2010,1
369,476,1
394,90,1
427,2547,1
536,644,1
762,336,1
843,61,1
884,1630,1
967,2520,1
1035,381,1
1119,1391,1
1237,258,1
1258,245,1
1321,1281,1
1349,640,1
1497,793,1
1526,1073,1
1547,1041,1
1610,833,1
1627,835,1
1658,1352,1
1678,2569,1
1705,1303,1
1726,1616,1
1769,2345,1
1803,1471,1
1908,2203,1
1952,541,1
1984,522,1
2035,2131,1
2039,2153,1
2066,2106,1
2346,1762,1
2404,1232,1
2501,1158,1
2543,429,1
2556,1984,1
1,218,1
55,1795,1
198,34,1
231,1718,1
471,2319,1
498,960,1
524,640,1
572,361,1
709,2515,1
716,2558,1
747,2295,1
851,1586,1
904,1626,1
937,2298,1
995,2565,1
1179,163,1
1291,614,1
1485,759,1
1569,21,1
1816,2397,1
1864,117,1
1893,1577,1
2137,1068,1
2182,1075,1
2214,840,1
2306,968,1
2331,466,1
2418,413,1
2465,1184,1
147,1925,1
178,1695,1
466,169,1
653,1360,1
773,347,1
827,1614,1
857,51,1
1010,2105,1
1099,2185,1
1139,553,1
1366,2054,1
1387,2061,1
1421,1131,1
1442,1214,1
1465,732,1
1935,1538,1
2015,338,1
2271,1958,1
2292,1953,1
2527,1707,1
2577,715,1
33,2448,1
115,1866,1
250,657,1
266,1243,1
